년도,구분,채소_묶음_분류,시도,면적_계,단수_계,생산량_계,노지_면적,노지_단수,노지_생산량,시설_면적,시설_단수,시설_생산량
"2013","충 북","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","충 남","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","전 북","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","전 남","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","경 북","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","경 남","양 채 류","파 세 리","1","1655","12","0","0","0","1","1655",12
"2013","제 주","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","세 종","양 채 류","파 세 리","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","꽃 양 배 추","108","3050","3293","105","3091","3246","3","1585",48
"2013","서 울","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","꽃 양 배 추","2","1525","31","0","0","0","2","1525",31
"2013","강 원","양 채 류","꽃 양 배 추","91","3316","3018","91","3316","3018","0","0",0
"2013","충 북","양 채 류","꽃 양 배 추","12","1698","204","12","1698","204","0","0",0
"2013","충 남","양 채 류","꽃 양 배 추","1","1705","17","0","0","0","1","1705",17
"2013","전 북","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","전 남","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","경 북","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","경 남","양 채 류","꽃 양 배 추","1","1260","13","1","1260","13","0","0",0
"2013","제 주","양 채 류","꽃 양 배 추","1","1200","12","1","1200","12","0","0",0
"2013","세 종","양 채 류","꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","녹 색 꽃 양 배 추","1692","1540","26065","1657","1511","25042","35","2923",1023
"2013","서 울","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","녹 색 꽃 양 배 추","9","2657","239","2","1689","34","7","2933",205
"2013","강 원","양 채 류","녹 색 꽃 양 배 추","114","1742","1986","109","1731","1887","5","1984",99
"2013","충 북","양 채 류","녹 색 꽃 양 배 추","111","1799","1997","102","1550","1581","9","4625",416
"2013","충 남","양 채 류","녹 색 꽃 양 배 추","3","2000","60","0","0","0","3","2000",60
"2013","전 북","양 채 류","녹 색 꽃 양 배 추","25","1509","377","19","1132","215","6","2703",162
"2013","전 남","양 채 류","녹 색 꽃 양 배 추","3","1499","45","2","1499","30","1","1500",15
"2013","경 북","양 채 류","녹 색 꽃 양 배 추","25","1163","291","24","1140","274","1","1706",17
"2013","경 남","양 채 류","녹 색 꽃 양 배 추","7","2056","144","5","2238","112","2","1600",32
"2013","제 주","양 채 류","녹 색 꽃 양 배 추","1395","1500","20926","1394","1500","20910","1","1602",16
"2013","세 종","양 채 류","녹 색 꽃 양 배 추","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","케 일","39","3371","1315","1","1800","18","38","3412",1297
"2013","서 울","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","케 일","3","1086","33","0","0","0","3","1086",33
"2013","인 천","양 채 류","케 일","1","3022","30","0","0","0","1","3022",30
"2013","광 주","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","케 일","25","3677","919","0","0","0","25","3677",919
"2013","강 원","양 채 류","케 일","3","2592","78","0","0","0","3","2592",78
"2013","충 북","양 채 류","케 일","3","3836","115","0","0","0","3","3836",115
"2013","충 남","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","전 북","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","전 남","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","경 북","양 채 류","케 일","1","3049","30","0","0","0","1","3049",30
"2013","경 남","양 채 류","케 일","2","4556","91","0","0","0","2","4556",91
"2013","제 주","양 채 류","케 일","1","1800","18","1","1800","18","0","0",0
"2013","세 종","양 채 류","케 일","0","0","0","0","0","0","0","0",0
"2013","제 주","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","세 종","양 채 류","결 구 상 추","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","샐 러 리","59","2916","1720","29","2509","728","30","3309",993
"2013","서 울","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","샐 러 리","2","2084","42","0","0","0","2","2084",42
"2013","대 구","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","대 전","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","샐 러 리","5","2987","149","0","0","0","5","2987",149
"2013","강 원","양 채 류","샐 러 리","37","2738","1013","29","2509","728","8","3569",286
"2013","충 북","양 채 류","샐 러 리","2","3429","69","0","0","0","2","3429",69
"2013","충 남","양 채 류","샐 러 리","3","2667","80","0","0","0","3","2667",80
"2013","전 북","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","전 남","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","경 북","양 채 류","샐 러 리","1","1794","18","0","0","0","1","1794",18
"2013","경 남","양 채 류","샐 러 리","9","3884","350","0","0","0","9","3884",350
"2013","제 주","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","세 종","양 채 류","샐 러 리","0","0","0","0","0","0","0","0",0
"2013","전 국","양 채 류","피 망","573","3875","22206","85","2436","2071","488","4126",20135
"2013","서 울","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","부 산","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","대 구","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","인 천","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","광 주","양 채 류","피 망","104","3605","3749","0","0","0","104","3605",3749
"2013","대 전","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","울 산","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","경 기","양 채 류","피 망","2","3090","62","0","0","0","2","3090",62
"2013","강 원","양 채 류","피 망","264","3296","8701","84","2411","2025","180","3709",6676
"2013","충 북","양 채 류","피 망","1","3441","34","0","0","0","1","3441",34
"2013","충 남","양 채 류","피 망","2","4655","93","0","0","0","2","4655",93
"2013","전 북","양 채 류","피 망","3","3936","118","0","0","0","3","3936",118
"2013","전 남","양 채 류","피 망","57","4891","2788","1","4527","45","56","4898",2743
"2013","경 북","양 채 류","피 망","0","0","0","0","0","0","0","0",0
"2013","경 남","양 채 류","피 망","140","4757","6660","0","0","0","140","4757",6660
"2013","제 주","양 채 류","피 망","0","0","0","0","0","0","0","0",0
